match_id,player1,player2,player1hand,player2hand
20110508-W-Madrid-F-Petra_Kvitova-Victoria_Azarenka.html,Petra Kvitova,Victoria Azarenka,LH,RH
20110513-M-Rome_Masters-SF-Novak_Djokovic-Andy_Murray.html,Novak Djokovic,Andy Murray,RH,RH
20110514-M-Rome_Masters-SF-Richard_Gasquet-Rafael_Nadal.html,Richard Gasquet,Rafael Nadal,RH,LH
20110515-W-Rome-F-Samantha_Stosur-Maria_Sharapova.html,Samantha Stosur,Maria Sharapova,RH,RH
20110530-W-Roland_Garros-R16-Agnieszka_Radwanska-Maria_Sharapova.html,Agnieszka Radwanska,Maria Sharapova,RH,RH
20110602-W-Roland_Garros-SF-Francesca_Schiavone-Marion_Bartoli.html,Francesca Schiavone,Marion Bartoli,RH,RH
20110602-W-Roland_Garros-SF-Na_Li-Maria_Sharapova.html,Na Li,Maria Sharapova,RH,RH
20110603-M-Roland_Garros-SF-Andy_Murray-Rafael_Nadal.html,Andy Murray,Rafael Nadal,RH,LH
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer.html,Novak Djokovic,Roger Federer,RH,RH
20110604-W-Roland_Garros-F-Francesca_Schiavone-Na_Li.html,Francesca Schiavone,Na Li,RH,RH
20110605-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal.html,Roger Federer,Rafael Nadal,RH,LH
20110606-M-Queens_Club-SF-Andy_Murray-Andy_Roddick.html,Andy Murray,Andy Roddick,RH,RH
20110613-M-Queens_Club-F-Jo_Wilfried_Tsonga-Andy_Murray.html,Jo Wilfried Tsonga,Andy Murray,RH,RH
20110614-W-Eastbourne-R32-Ana_Ivanovic-Julia_Goerges.html,Ana Ivanovic,Julia Goerges,RH,RH
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm.html,Venus Williams,Kimiko Date Krumm,RH,RH
20110615-W-Eastbourne-R16-Venus_Williams-Ana_Ivanovic.html,Venus Williams,Ana Ivanovic,RH,RH
20110618-W-Eastbourne-F-Marion_Bartoli-Petra_Kvitova.html,Marion Bartoli,Petra Kvitova,RH,LH
20110623-W-Wimbledon-R64-Na_Li-Sabine_Lisicki.html,Na Li,Sabine Lisicki,RH,RH
20110628-W-Wimbledon-QF-Dominika_Cibulkova-Maria_Sharapova.html,Dominika Cibulkova,Maria Sharapova,RH,RH
20110628-W-Wimbledon-QF-Tamira_Paszek-Victoria_Azarenka.html,Tamira Paszek,Victoria Azarenka,RH,RH
